PRODUCT,SOURCE CITY,DESTINATION PINCODE,CITY,STATE,DEST. REGION,ZONE,TAT,PREPAID,COD,REVERSE PICKUP,FORWARD PICKUP,DESTINATION CATEGORY,PUDO SERVICEABLE,B2C_COD_SERVICEABLE
SMART_EXPRESS,NOIDA,110044,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110045,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110046,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110047,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110048,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110049,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110050,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110051,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110052,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110053,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110054,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110055,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110056,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110057,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110058,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110059,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110060,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110061,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110062,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110063,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110064,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110065,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110066,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110067,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110068,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110069,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
